source,record_id,question_id,provider_id,title,classification,reason,known_query_risk,source_limitation,source_url,decision_authority,human_screening_claim,systematic_review_inclusion_claim,status
clinicaltrials,REC-CTGOV-NCT00911300,A1,NCT00911300,Evaluation of Fondaparinux in Patients With a Heart Rhythm Disturbance Who Undergo Restoration of Normal Heart Rhythm,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT00911300,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT00928915,A1,NCT00928915,International Normalized Ratio (INR) Normalization in Coumadin Associated Intracerebral Haemorrhage,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT00928915,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT00954395,A1,NCT00954395,DULCIS (D-dimer and ULtrasonography in Combination Italian Study),ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT00954395,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT00966290,A1,NCT00966290,Anticoagulant Clinics and Vitamin K Antagonists,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT00966290,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT00970619,A1,NCT00970619,DUTCH CAVA-trial: CAtheter Versus Anticoagulation Alone for Acute Primary (Ilio)Femoral DVT.,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT00970619,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT00990158,A1,NCT00990158,Does Low Dose Oral Vitamin K Improve International Normalized Ratio (INR) Stability?,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT00990158,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01006733,A1,NCT01006733,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01006733,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01034124,A1,NCT01034124,Mechanisms Underlying Drug-Diet Interactions,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01034124,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01036802,A1,NCT01036802,Anticoagulation For Pulmonary Hypertension in Sickle Cell Disease,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01036802,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT01042067,A1,NCT01042067,Safer Warfarin Treatment,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT01042067,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
