retrieval_id,record_id,question_id,nct_id,brief_title,official_title,overall_status,study_type,phases,enrollment,conditions,interventions,lead_sponsor,start_date,completion_date,has_results,registry_url,known_query_risk,decision_authority,status
RET-A1-CTGOV-NCT03254147,REC-CTGOV-NCT03254147,A1,NCT03254147,Medical Need of OAC Reversal,"Medical Need of Oral Anti-coagulant Reversal in Japan: Epidemiological Assessment of Head Trauma, Fracture, and Emergency Surgery Using Large Scale Claims Database (Please Note That This Study Contains no Patients Treated With Idarucizumab Although the Study Number Begins With 1321; the Study Contains Only Patients Treated With OACs, Namely Warfarin, Dabigatran, Edoxaban, Apixaban, Rivaroxaban, Edoxaban)",COMPLETED,OBSERVATIONAL,,53969,Atrial Fibrillation,DRUG:warfarin|DRUG:dabigatran|DRUG:Apixaban|DRUG:Edoxaban|DRUG:Rivaroxaban,Boehringer Ingelheim,2017-10-15,2017-11-10,true,https://clinicaltrials.gov/study/NCT03254147,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02522221,REC-CTGOV-NCT02522221,A1,NCT02522221,Tecarfarin Anti-Coagulation Trial (TACT),"A ""Real-World"", Randomized, Open-Label, Study on the Efficacy, Safety, and Tolerability of Tecarfarin (ATI-5923) a Novel Vitamin K Antagonist, Versus Warfarin in Subjects Requiring Chronic Anticoagulation",UNKNOWN,INTERVENTIONAL,PHASE3,1000,Thromboembolism|Thrombosis,DRUG:Warfarin|DRUG:tecarfarin,Espero Biopharma,2018-06-01,2019-07-01,false,https://clinicaltrials.gov/study/NCT02522221,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT05205863,REC-CTGOV-NCT05205863,A1,NCT05205863,Dose-Response in PD and Safety of Cofact Under VKA Anticoagulation,A Phase 1/2 Study of the Dose-Response in Pharmacodynamics and Safety of Prothrombin Complex Concentrate Cofact in Healthy Subjects Under Vitamin K Antagonist Anticoagulation.,COMPLETED,INTERVENTIONAL,PHASE1|PHASE2,69,Healthy Volunteers,BIOLOGICAL:Cofact,Prothya Biosolutions,2021-11-12,2022-09-03,false,https://clinicaltrials.gov/study/NCT05205863,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02464969,REC-CTGOV-NCT02464969,A1,NCT02464969,Apixaban for the Acute Treatment of Venous Thromboembolism in Children,"A Randomized, Open-Label, Active Controlled, Safety and Descriptive Efficacy Study in Pediatric Subjects Requiring Anticoagulation for the Treatment of a Venous Thromboembolic Event",COMPLETED,INTERVENTIONAL,PHASE4,229,Venous Thromboembolism,DRUG:Apixaban|DRUG:Standard of Care,Bristol-Myers Squibb,2015-11-22,2024-04-30,true,https://clinicaltrials.gov/study/NCT02464969,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03799822,REC-CTGOV-NCT03799822,A1,NCT03799822,Oral Anticoagulation in Hemodialysis,Safety and Efficacy of Vitamin K Antagonists Versus Rivaroxaban in Hemodialysis Patients With Atrial Fibrillation: a Multicenter Randomized Controlled Trial,COMPLETED,INTERVENTIONAL,PHASE4,132,Atrial Fibrillation,DRUG:Rivaroxaban 10 MG Oral Tablet|DIETARY_SUPPLEMENT:MK-7 2000µg thrice weekly|DRUG:Vitamin K Antagonist - Drug,Onze Lieve Vrouw Hospital,2017-05-01,2020-10-01,false,https://clinicaltrials.gov/study/NCT03799822,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01034124,REC-CTGOV-NCT01034124,A1,NCT01034124,Mechanisms Underlying Drug-Diet Interactions,Mechanisms Underlying Drug-Diet Interactions,COMPLETED,INTERVENTIONAL,NA,19,Pharmacokinetics,"DRUG:warfarin, vitamin K, midazolam","University of North Carolina, Chapel Hill",2007-01,2008-06,false,https://clinicaltrials.gov/study/NCT01034124,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT07639892,REC-CTGOV-NCT07639892,A1,NCT07639892,Antithrombotic Treatment Strategies in Cervical Artery Dissection,"Antiplatelet Versus Anticoagulation TREATment Strategies in Cervical Artery Dissection - TREAT-CAD 2 - A Multicenter, Randomized, Two-arm Parallel Group, Open-label, Blinded Endpoint, Pragmatic Trial",NOT_YET_RECRUITING,INTERVENTIONAL,NA,1100,Cervical Artery Dissection,PROCEDURE:Antiplatelet Treatment Strategy|PROCEDURE:Anticoagulation Treatment Strategy,University Department of Geriatric Medicine FELIX PLATTER,2026-07,2030-03,false,https://clinicaltrials.gov/study/NCT07639892,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04437303,REC-CTGOV-NCT04437303,A1,NCT04437303,Periprocedural Continuation Versus Interruption of Oral Anticoagulant Drugs During Transcatheter Aortic Valve Implantation (POPular PAUSE TAVI),Periprocedural Continuation Versus Interruption of Oral Anticoagulant Drugs During Transcatheter Aortic Valve Implantation (POPular PAUSE TAVI),COMPLETED,INTERVENTIONAL,PHASE4,858,Aortic Valve Disease|Aortic Valve Stenosis|Stroke|Bleeding|Vascular Complications|Myocardial Infarction|Thrombosis Embolism,DRUG:Continuation of oral anticoagulants|DRUG:Interruption of oral anticoagulants,St. Antonius Hospital,2020-11-25,2024-05-22,false,https://clinicaltrials.gov/study/NCT04437303,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01348074,REC-CTGOV-NCT01348074,A1,NCT01348074,Reinitiation of Anticoagulation After Temporary Withdrawal of Vitamin K Antagonist,Phase II Study of Double Versus Single Reinitiation Dose of Warfarin After Interruption for Surgery,COMPLETED,INTERVENTIONAL,PHASE2,104,Atrial Fibrillation|Venous Thromboembolism|Heart Valve Disease|Surgery,DRUG:Double dose,McMaster University,2011-04,2013-12,false,https://clinicaltrials.gov/study/NCT01348074,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04258488,REC-CTGOV-NCT04258488,A1,NCT04258488,Long-term Anticoagulation With Oral Factor Xa Inhibitor Versus Vitamin K Antagonist After Mechanical Aortic Valve Replacement,"Randomized, Evaluation of Long-term Anticoagulation With Oral Factor Xa Inhibitor Versus Vitamin K Antagonist After Mechanical Aortic Valve Replacement",RECRUITING,INTERVENTIONAL,PHASE4,1300,AORTIC VALVE DISEASES|Thromboembolism,DRUG:Rivaroxaban Oral Tablet|DRUG:Vitamin K antagonist(warfarin),Joon Bum Kim,2022-02-21,2028-12-30,false,https://clinicaltrials.gov/study/NCT04258488,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02072434,REC-CTGOV-NCT02072434,A1,NCT02072434,Edoxaban vs. Warfarin in Subjects Undergoing Cardioversion of Nonvalvular Atrial Fibrillation (NVAF),"A Prospective, Randomized, Open-Label Blinded Endpoint Evaluation (PROBE) Parallel Group Study Comparing Edoxaban (DU-176b) With Enoxaparin/Warfarin Followed by Warfarin Alone in Subjects Undergoing Planned Electrical Cardioversion of Nonvalvular Atrial Fibrillation",COMPLETED,INTERVENTIONAL,PHASE3,2199,Atrial Fibrillation,DRUG:Edoxaban|DRUG:Warfarin|DRUG:Enoxaparin,Daiichi Sankyo,2014-03-25,2016-02-03,true,https://clinicaltrials.gov/study/NCT02072434,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT06692504,REC-CTGOV-NCT06692504,A1,NCT06692504,Adverse Drug Events in Patients on Oral Anticoagulation in the Emergency Department,Real-life Epidemiology of Adverse Drug Events in Patients on Oral Anticoagulation in the Emergency Department Setting,RECRUITING,OBSERVATIONAL,,2080,Hemorrhage|Thrombosis|Anticoagulant Therapy|Traumatic Hemorrhage,,Centre Hospitalier Universitaire de Besancon,2021-01-01,2025-09,false,https://clinicaltrials.gov/study/NCT06692504,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00928915,REC-CTGOV-NCT00928915,A1,NCT00928915,International Normalized Ratio (INR) Normalization in Coumadin Associated Intracerebral Haemorrhage,"Multicenter, Prospective Randomized Trial on the Use of Prothrombin Complex and Fresh Frozen Plasma in Patients With Intracerebral Hemorrhage Related to Vitamin K Antagonists",COMPLETED,INTERVENTIONAL,PHASE4,54,Intracranial Hemorrhages,DRUG:Prothrombin complex concentrate (PCC); fresh frozen plasma (FFP),Heidelberg University,2009-07,2015-01,false,https://clinicaltrials.gov/study/NCT00928915,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00794755,REC-CTGOV-NCT00794755,A1,NCT00794755,Low Dose Supplementation to Improve Anticoagulation Control With Oral Vitamin K as an Adjuvant to Warfarin Therapy,"A Phase III Pilot RCT (Randomized, Controlled Trial) to Assess the Effectiveness of Low Dose Vitamin K1 (200 Micrograms Per Day) on Improving Anticoagulation Control in Unstable Patients on Warfarin",COMPLETED,INTERVENTIONAL,PHASE3,100,Coagulation,DIETARY_SUPPLEMENT:Vitamin K1 (Phytonadione)|DIETARY_SUPPLEMENT:Placebo,Ottawa Hospital Research Institute,2008-11,2010-04,false,https://clinicaltrials.gov/study/NCT00794755,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT07330869,REC-CTGOV-NCT07330869,A1,NCT07330869,Warfarin Effects on Male Fertility After Cardiac Surgery,"Effects of Warfarin Therapy on Semen Quality, DNA Integrity, Hormonal Profile and Molecular Alterations in Male Patients Undergoing Cardiac Surgery: A Prospective Comparative Pilot Study",NOT_YET_RECRUITING,OBSERVATIONAL,,90,Male Infertility|Heart Valve Disease,"OTHER:Semen analysis, sperm DNA fragmentation and hormonal evaluation","Città di Lecce Hospital, GVM Care & Research",2026-02,2028-06,false,https://clinicaltrials.gov/study/NCT07330869,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT05006287,REC-CTGOV-NCT05006287,A1,NCT05006287,The Safety of Non-vitamin K Oral Anticoagulants Compared to Warfarin Early After Cardiac Surgery,A Randomized Trial of the Safety of Non-vitamin K Oral Anticoagulants Compared to Warfarin Early After Cardiac Surgery: a Pilot Study,UNKNOWN,INTERVENTIONAL,PHASE2,100,Atrial Fibrillation,DRUG:Non-vitamin K oral anticoagulants (NOACs)|DRUG:Warfarin,"St. Paul's Hospital, Canada",2022-10-12,2024-05-30,false,https://clinicaltrials.gov/study/NCT05006287,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04195113,REC-CTGOV-NCT04195113,A1,NCT04195113,Perioperative Anticoagulant Use for Surgery Evaluation Emergency Registry,Management and Outcomes of Patients Receiving Oral Anticoagulants Who Require an Urgent/Emergency Surgery or Procedure: A Prospective Registry Study,COMPLETED,OBSERVATIONAL,,242,Atrial Fibrillation|Venous Thromboembolism|Arterial Vascular Disease,,McMaster University,2019-08-07,2022-12-31,false,https://clinicaltrials.gov/study/NCT04195113,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03232398,REC-CTGOV-NCT03232398,A1,NCT03232398,Apixaban Versus Warfarin in Patients With Left Ventricular (LV) Thrombus,Apixaban Versus Warfarin in Patients With Left Ventricular (LV) Thrombus,COMPLETED,INTERVENTIONAL,PHASE3,40,Acute Myocardial Infarction|Left Ventricular Thrombosis|Anticoagulants and Bleeding Disorders,DRUG:Apixaban Oral Tablet [Eliquis]|DRUG:Warfarin,Hadassah Medical Organization,2018-01-01,2021-05-31,false,https://clinicaltrials.gov/study/NCT03232398,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT06648837,REC-CTGOV-NCT06648837,A1,NCT06648837,Microvisk Continuous Blood Donation Study,Continuous Blood Donation for the Development of the Microvisk PT/INR,NOT_YET_RECRUITING,INTERVENTIONAL,NA,2500,Pulmonary Embolism (Diagnosis)|Deep Vein Thrombosis|Atrial Fibrillation (AF),PROCEDURE:Venepuncture|OTHER:Collection of relevant information,Microvisk Technologies Ltd,2025-01-13,2029-11-01,false,https://clinicaltrials.gov/study/NCT06648837,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT07515664,REC-CTGOV-NCT07515664,A1,NCT07515664,Vitamin K for Perioperative Warfarin Management,Vitamin K Reversal of INR for Perioperative Management of Warfarin: : A Pilot Study to Assess Feasibility,RECRUITING,INTERVENTIONAL,PHASE4,20,Anticoagulant Therapy,DRUG:Vitamin K|DRUG:Warfarin (standard without loading)|DRUG:Warfarin (standard with loading),University of Michigan,2025-07-03,2026-08,false,https://clinicaltrials.gov/study/NCT07515664,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02740712,REC-CTGOV-NCT02740712,A1,NCT02740712,Pharmacokinetic Drug-Drug Interaction Study of Rucaparib,"A Phase 1, Open-label, Multiple-probe Drug-drug Interaction Study to Determine the Effect of Rucaparib on Pharmacokinetics of Caffeine, S-Warfarin, Omeprazole, Midazolam, and Digoxin in Patients With Advanced Solid Tumors",COMPLETED,INTERVENTIONAL,PHASE1,17,Neoplasms,DRUG:Caffeine|DRUG:Warfarin|DRUG:Omeprazole|DRUG:Midazolam|DRUG:digoxin|DRUG:Vitamin K|DRUG:Rucaparib,pharmaand GmbH,2016-04,2019-09,false,https://clinicaltrials.gov/study/NCT02740712,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02618577,REC-CTGOV-NCT02618577,A1,NCT02618577,Non-vitamin K Antagonist Oral Anticoagulants in Patients With Atrial High Rate Episodes,"Non-vitamin K Antagonist Oral Anticoagulants in Patients With Atrial High Rate Episodes - An Investigator-driven, Prospective, Randomised, Double-blind, Multi-centre Trial Initiated by the European Society of Cardiology and AFNET",TERMINATED,INTERVENTIONAL,PHASE3,2608,Atrial High Rate Episodes,DRUG:Edoxaban|DRUG:ASA,Atrial Fibrillation Network,2016-02,2022-12-31,true,https://clinicaltrials.gov/study/NCT02618577,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00070655,REC-CTGOV-NCT00070655,A1,NCT00070655,Evaluating the Use of SR34006 Compared to Warfarin or Acenocoumarol in Patients With Atrial Fibrillation (AMADEUS),"The AMADEUS Trial, A Multicenter, Randomized, Open-label, Assessor Blind, Non-inferiority Study Comparing the Efficacy and Safety of Once-weekly Subcutaneous Idraparinux (SR34006) With Adjusted-dose Oral Vitamin-K Antagonists in the Prevention of Thromboembolic Events in Patients With Atrial Fibrillation",COMPLETED,INTERVENTIONAL,PHASE3,4673,Atrial Fibrillation,DRUG:SR34006 (idraparinux sodium) Injection|DRUG:vitamin K antagonist (warfarin or acenocoumarol) tablets,Sanofi,2003-09,2006-03,false,https://clinicaltrials.gov/study/NCT00070655,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01474460,REC-CTGOV-NCT01474460,A1,NCT01474460,Use of Phytonadione to Reduce International Normalized Ratio (INR) Variability in Patients on Long-term Warfarin Therapy,Use of Phytonadione to Reduce INR Variability in Patients on Long-term Warfarin Therapy,COMPLETED,INTERVENTIONAL,NA,370,Coagulation Delay,DIETARY_SUPPLEMENT:phytonadione,James A. Haley Veterans Administration Hospital,2011-09,2015-11,false,https://clinicaltrials.gov/study/NCT01474460,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT06138184,REC-CTGOV-NCT06138184,A1,NCT06138184,Learning Theory Patient Education for Anticoagulants,Patient Education for Anticoagulants Using Learning Theories - a Pilot Study,NOT_YET_RECRUITING,INTERVENTIONAL,NA,68,"Knowledge, Attitudes, Practice",BEHAVIORAL:Anticoagulation Educational Materials|BEHAVIORAL:Control Group: Standard of Care,University of Utah,2026-04,2026-12,false,https://clinicaltrials.gov/study/NCT06138184,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02591732,REC-CTGOV-NCT02591732,A1,NCT02591732,A Nationwide Registry Study of Patients With Nonvalvular Atrial Fibrillation Initiating Oral Anticoagulation Therapies In The Early Period Following Apixaban Marketing In Denmark,"A Nation-wide Registry Study of Patients With Non-valvular Atrial Fibrillation Initiating Anticoagulation Therapies in the Early Period Follow Apixaban Marketing in Denmark: Patient Characteristics, Treatment Patterns, and Early Bleeding Events",COMPLETED,OBSERVATIONAL,,52178,Anticoagulation,,Bristol-Myers Squibb,2014-08,2015-06,false,https://clinicaltrials.gov/study/NCT02591732,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04618913,REC-CTGOV-NCT04618913,A1,NCT04618913,Anticoagulation in Patients With Venous Thromboembolism and Cancer,"VICTORIE (VTE IN CANCER - TREATMENT, OUTCOMES AND RESOURCE USE IN EUROPE)",ACTIVE_NOT_RECRUITING,OBSERVATIONAL,,1,Neoplasms|Embolism,DRUG:Apixaban|DRUG:Rivaroxaban|DRUG:Edoxaban|DRUG:Dabigatran|DRUG:VKA|DRUG:LMWH,Pfizer,2020-12-14,2026-06-30,false,https://clinicaltrials.gov/study/NCT04618913,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT05038228,REC-CTGOV-NCT05038228,A1,NCT05038228,High Gastrointestinal Bleed Risk Outcomes in Patients With Non-valvular Atrial Fibrillation (NVAF) in France,ANTICOAGULANT TREATMENT PATTERNS AND OUTCOMES AMONG NON-VALVULAR ATRIAL FIBRILLATION PATIENTS WITH HIGH RISK OF GASTROINTESTINAL BLEEDING IN FRANCE: A RETROSPECTIVE COHORT ANALYSIS USING SNDS DATABASE,COMPLETED,OBSERVATIONAL,,1,Atrial Fibrillation,DRUG:Apixaban|DRUG:Rivaroxaban|DRUG:Dabigatran|DRUG:Vitamin K antagonist (VKA),Pfizer,2022-08-01,2026-05-29,false,https://clinicaltrials.gov/study/NCT05038228,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00868712,REC-CTGOV-NCT00868712,A1,NCT00868712,Warfarin and Coronary Calcification Project,Warfarin and Coronary Calcification Project,COMPLETED,OBSERVATIONAL,,70,Coronary Calcification,,Walter Reed Army Medical Center,2004-05,2010-01,true,https://clinicaltrials.gov/study/NCT00868712,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03374540,REC-CTGOV-NCT03374540,A1,NCT03374540,Rivaroxaban vs Warfarin for SPAF in Multi-morbid Patients,Comparative Effectiveness of Rivaroxaban and Warfarin for Stroke Prevention in Multi-morbid Patients With Nonvalvular Atrial Fibrillation,COMPLETED,OBSERVATIONAL,,78517,Nonvalvular Atrial Fibrillation,"DRUG:Rivaroxaban (Xarelto, BAY59-7939)|DRUG:Vitamin K antagonist (VKA)",Bayer,2017-12-01,2019-08-30,false,https://clinicaltrials.gov/study/NCT03374540,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT06429787,REC-CTGOV-NCT06429787,A1,NCT06429787,Post Marketing Observational Study on Safety of BALFAXAR vs. KCENTRA for Reversal of Vitamin K Antagonist Induced Anticoagulation in Adults Undergoing Urgent Surgery or Invasive Procedure,Post Marketing Observational Study on Safety of BALFAXAR® vs. KCENTRA for Reversal of Vitamin K Antagonist Induced Anticoagulation in Adults Undergoing Urgent Surgery or Invasive Procedure.,RECRUITING,OBSERVATIONAL,,3574,Vitamin K-Dependent Coagulation Defect|Significant Bleeding Risk,DRUG:Balfaxar|DRUG:Kcentra,Octapharma,2025-02-14,2032-06-30,false,https://clinicaltrials.gov/study/NCT06429787,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04062097,REC-CTGOV-NCT04062097,A1,NCT04062097,Registration of Idarucizumab for Patients with IntraCranial Hemorrhage,Registration of Idarucizumab for Patients with IntraCranial Hemorrhage (RIC-ICH),COMPLETED,OBSERVATIONAL,,104,Intracranial Hemorrhage,DRUG:Dabigatran Etexilate Oral Capsule [Pradaxa]|DRUG:Idarucizumab 2.5 GM/50 ML Intravenous Solution [PRAXBIND]|DRUG:Vitamin K antagonist,"University Hospital, Essen",2019-09-19,2021-12-31,false,https://clinicaltrials.gov/study/NCT04062097,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT07616414,REC-CTGOV-NCT07616414,A1,NCT07616414,Stepwise vs Standard Anticoagulation for AF Patients Undergoing CIED Implantation (STEP-AF),Stepwise Versus Standard Antithrombotic Strategies in Patients With Atrial Fibrillation at High Thromboembolic Risk Undergoing CIED Procedures (STEP-AF Trial),NOT_YET_RECRUITING,INTERVENTIONAL,NA,424,Non-valvular Atrial Fibrillation (NVAF)|Thromboembolism|Cardiac Implantable Electronic Device|Perioperative Bleeding|Hematoma Postoperative,DRUG:Stepwise Anticoagulation Regimen|DRUG:Standard Anticoagulation Regimen,"Fu Wai Hospital, Beijing, China",2026-05-26,2026-12-31,false,https://clinicaltrials.gov/study/NCT07616414,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02981472,REC-CTGOV-NCT02981472,A1,NCT02981472,A Study of the Safety and Pharmacokinetics of Apixaban Versus Vitamin K Antagonist (VKA) or Low Molecular Weight Heparin (LMWH) in Pediatric Subjects With Congenital or Acquired Heart Disease Requiring Anticoagulation,"A Prospective, Randomized, Open Label, Multi-center Study of the Safety and Pharmacokinetics of Apixaban Versus Vitamin K Antagonist or LMWH in Pediatric Subjects With Congenital or Acquired Heart Disease Requiring Chronic Anticoagulation for Thromboembolism Prevention",COMPLETED,INTERVENTIONAL,PHASE2,192,Thrombosis,DRUG:Apixaban|DRUG:Vitamin K Antagonist (VKA)|DRUG:Low Molecular Weight Heparin (LMWH),Bristol-Myers Squibb,2017-01-19,2021-10-18,true,https://clinicaltrials.gov/study/NCT02981472,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT03485300,REC-CTGOV-NCT03485300,A1,NCT03485300,The Prevalence of Sub Optimal Anti Coagulation,Prevalence of Sub Optimal Anti Coagulation in Patients With Prosthetic Cardiac Valves,UNKNOWN,OBSERVATIONAL,,50,Poor Drug Response,DIAGNOSTIC_TEST:Liver and kidney function tests for patients with chronic liver or kidney diseases|BEHAVIORAL:Non compliance of the patient|DRUG:Drug or food interactions,Assiut University,2018-12,2019-12,false,https://clinicaltrials.gov/study/NCT03485300,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT06615596,REC-CTGOV-NCT06615596,A1,NCT06615596,Discontinuation of Anticoagulations After Successful Catheter Ablation of Atrial Fibrillation,Discontinuation of Anticoagulations After Successful Catheter Ablation of Atrial Fibrillation: DESTINATION Study,RECRUITING,INTERVENTIONAL,EARLY_PHASE1,3160,Atrial Fibrillation (AF),BEHAVIORAL:discontinue anticoagulation therapy|DRUG:Anticoagulant drugs|PROCEDURE:Catheter Ablation,China National Center for Cardiovascular Diseases,2025-08-05,2029-12-31,false,https://clinicaltrials.gov/study/NCT06615596,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02488421,REC-CTGOV-NCT02488421,A1,NCT02488421,"Real Evidence of Anticoagulation Treatment in Non-valvular Atrial Fibrillation in Germany, UK and France: REACT-AF2","Real Evidence of Anticoagulation Treatment in Non-valvular Atrial Fibrillation in Germany, UK and France: REACT-AF 2",COMPLETED,OBSERVATIONAL,,38122,Non-valvular Atrial Fibrillation,,Bristol-Myers Squibb,2014-06,2016-07,false,https://clinicaltrials.gov/study/NCT02488421,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT06141538,REC-CTGOV-NCT06141538,A1,NCT06141538,Response of Intracardiac Thrombus to Anticoagulants in Patients With Non-valvular Atrial Fibrillation (LYSIS),"Response of Intracardiac Thrombus to Anticoagulants in Patients With Non-valvular Atrial Fibrillation (LYSIS): an Investigator-initiated, National, Multicenter, Retrospective-prospective, Observational Cohort Study",NOT_YET_RECRUITING,OBSERVATIONAL,,500,Atrial Fibrillation|Intracardiac Thrombus,OTHER:Observational; No Interventions were given.,First Affiliated Hospital Xi'an Jiaotong University,2024-12-31,2030-12-31,false,https://clinicaltrials.gov/study/NCT06141538,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT00143715,REC-CTGOV-NCT00143715,A1,NCT00143715,Oral Vitamin K for Warfarin Associated Coagulopathy,"A Multicentre, Multinational Study of Oral Vitamin K for the Treatment of Warfarin Associated Coagulopathy",COMPLETED,INTERVENTIONAL,PHASE3,690,Coagulation|Bleeding|Thrombosis,DRUG:Phytonadione (Vitamin K1),St. Joseph's Healthcare Hamilton,2004-09,2007-01,false,https://clinicaltrials.gov/study/NCT00143715,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02303795,REC-CTGOV-NCT02303795,A1,NCT02303795,RIvaroxaban for Valvular Heart diseasE and atRial Fibrillation Trial -RIVER Trial,"A Phase 2, Randomized, Open Label, Non-Inferiority Clinical Trial to Explore the Safety and Efficacy of Rivaroxaban Compared With Vitamin K Antagonism in Patients With Atrial Fibrillation With Bioprosthetic Mitral Valves - RIVER",COMPLETED,INTERVENTIONAL,PHASE2,1005,Valvular Heart Disease,DRUG:Rivaroxaban|DRUG:Warfarin,Hospital do Coracao,2015-08,2020-08,false,https://clinicaltrials.gov/study/NCT02303795,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT04364516,REC-CTGOV-NCT04364516,A1,NCT04364516,Retrospective Observational Registry of Patients With Atrial Fibrillation From Vigo´s Health Area,Retrospective Observational Registry of Patients With Atrial Fibrillation From Vigo´s Health Area (Registro Observacional Retrospectivo de Pacientes Con Fibrilación Auricular Del Área de Vigo),UNKNOWN,OBSERVATIONAL,,15000,Atrial Fibrillation,DRUG:Anticoagulation,Hospital Álvaro Cunqueiro,2018-11-26,2023-11-26,false,https://clinicaltrials.gov/study/NCT04364516,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT01130025,REC-CTGOV-NCT01130025,A1,NCT01130025,Long-Term Innohep® Treatment Versus a Vitamin K Antagonist (Warfarin) for the Treatment of Venous Thromboembolism (VTE) in Cancer,Efficacy and Safety of Long-Term (6 Months) Innohep® Treatment Versus Anticoagulation With a Vitamin K Antagonist (Warfarin) for the Treatment of Acute Venous Thromboembolism in Cancer Patients / IN 0901 INT,COMPLETED,INTERVENTIONAL,PHASE3,900,Venous Thromboembolism,DRUG:Warfarin|DRUG:Innohep®,LEO Pharma,2010-08,2014-05,false,https://clinicaltrials.gov/study/NCT01130025,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
RET-A1-CTGOV-NCT02273609,REC-CTGOV-NCT02273609,A1,NCT02273609,INR Control and Atrial Fibrillation in Primary Care in Spain (PAULA),English: Current Perspective of the Status of Anticoagulation in Clinical Practice in Primare Care. Spanish: Perspectiva Actual de la sitUación de la anticoaguLación en la práctica clínica de Atención Primaria.,COMPLETED,OBSERVATIONAL,,1524,Atrial Fibrillation and Flutter,DRUG:Vitamin K antagonists (acenocoumarol or warfarin),Vivencio Barrios,2014-02,2014-10,false,https://clinicaltrials.gov/study/NCT02273609,vitamin K antagonist lexical false positive,none,context_only_not_a_screening_decision
