report_id,record_id,study_id,report_type,linkage_evidence,status
RPT-PUBMED-217276,REC-PUBMED-217276,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-219035,REC-PUBMED-219035,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-222916,REC-PUBMED-222916,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-223374,REC-PUBMED-223374,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-223375,REC-PUBMED-223375,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-223811,REC-PUBMED-223811,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-224162,REC-PUBMED-224162,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-224830,REC-PUBMED-224830,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-227085,REC-PUBMED-227085,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-227925,REC-PUBMED-227925,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-228213,REC-PUBMED-228213,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-229736,REC-PUBMED-229736,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-231424,REC-PUBMED-231424,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-232048,REC-PUBMED-232048,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-237537,REC-PUBMED-237537,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-244372,REC-PUBMED-244372,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-260538,REC-PUBMED-260538,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-263139,REC-PUBMED-263139,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-295047,REC-PUBMED-295047,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-301629,REC-PUBMED-301629,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-302061,REC-PUBMED-302061,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-303522,REC-PUBMED-303522,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-308293,REC-PUBMED-308293,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-309216,REC-PUBMED-309216,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-310221,REC-PUBMED-310221,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-312811,REC-PUBMED-312811,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-315115,REC-PUBMED-315115,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-333572,REC-PUBMED-333572,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-337364,REC-PUBMED-337364,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-341094,REC-PUBMED-341094,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-341326,REC-PUBMED-341326,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-342176,REC-PUBMED-342176,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-351267,REC-PUBMED-351267,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-354759,REC-PUBMED-354759,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-356199,REC-PUBMED-356199,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-356207,REC-PUBMED-356207,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-359368,REC-PUBMED-359368,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-362722,REC-PUBMED-362722,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-373941,REC-PUBMED-373941,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-380337,REC-PUBMED-380337,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-385174,REC-PUBMED-385174,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-386792,REC-PUBMED-386792,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-388147,REC-PUBMED-388147,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-388796,REC-PUBMED-388796,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-402385,REC-PUBMED-402385,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-409369,REC-PUBMED-409369,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-416499,REC-PUBMED-416499,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-421710,REC-PUBMED-421710,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-425376,REC-PUBMED-425376,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-426400,REC-PUBMED-426400,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-426915,REC-PUBMED-426915,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-430246,REC-PUBMED-430246,,bibliographic_record,PMID exact,needs_human_study_linkage
