question_id,eligible_studies,comparable_effects,decision,reason,status
A1,0,0,not_assessed,no human-included studies or verified extraction,blocked_external
A2,0,0,not_assessed,no human-included studies or verified extraction,blocked_external
B1,0,0,not_assessed,no human-included studies or verified extraction,blocked_external
B2,0,0,not_assessed,no human-included studies or verified extraction,blocked_external
B3,0,0,not_assessed,no human-included studies or verified extraction,blocked_external
