question_id,record_id,source,provider_id,title,abstract,authors,year,venue,publication_types,doi,url,screening_decision,regex_passed,source_scope,locator,locator_text,dose,outcome,key_finding,population,priority_score,raw_source_path,raw_source_sha256,extracted_effect_value,extracted_effect_status,status
HRS1_PERIOPERATIVE,pubmed:26949700,pubmed,26949700,Commonly Used Dietary Supplements on Coagulation Function during Surgery.,"BACKGROUND: Patients who undergo surgery appear to use dietary supplements significantly more frequently than the general population. Because they contain pharmacologically active compounds, dietary supplements may affect coagulation and platelet function during the perioperative period through direct effects, pharmacodynamic interactions, and pharmacokinetic interactions. However, in this regard, limited studies have been conducted that address the pharmacological interactions of dietary supplements. To avoid possible bleeding risks during surgery, information of potential complications of dietary supplements during perioperative management is important for physicians. METHODS: Through a systematic database search of all available years, articles were identified in this review if they included dietary supplements and coagulation/platelet function, while special attention was paid to studies published after 1990. RESULTS: Safety concerns are reported in commercially available dietary supplements. Effects of the most commonly used natural products on blood coagulation and platelet function are systematically reviewed, including 11 herbal medicines (echinacea, ephedra, garlic, ginger, ginkgo, ginseng, green tea, kava, saw palmetto, St John's wort, and valerian) and 4 other dietary supplements (coenzyme Q10, glucosamine and chondroitin sulfate, fish oil, and vitamins). Bleeding risks of garlic, ginkgo, ginseng, green tea, saw palmetto, St John's wort, and fish oil are reported. Cardiovascular instability was observed with ephedra, ginseng, and kava. Pharmacodynamic and pharmacokinetic interactions between dietary supplements and drugs used in the perioperative period are discussed. CONCLUSIONS: To prevent potential problems associated with the use of dietary supplements, physicians should be familiar with the perioperative effects of commonly used dietary supplements. Since the effects of dietary supplements on coagulation and platelet function are difficult to predict, it is prudent to advise their discontinuation before surgery.",,2015,"Medicines (Basel, Switzerland)",Journal Article,10.1001/jama.2014.15192,https://pubmed.ncbi.nlm.nih.gov/26949700/,retain,true,abstract_only,ABSTRACT_SENTENCE_4,"To avoid possible bleeding risks during surgery, information of potential complications of dietary supplements during perioperative management is important for physicians.",,"Because they contain pharmacologically active compounds, dietary supplements may affect coagulation and platelet function during the perioperative period through direct effects, pharmacodynamic interactions, and pharmacokinetic interactions. | However, in this regard, limited studies have been conducted that address the pharmacological interactions of dietary supplements. | To avoid possible bleeding risks during surgery, information of potential complications of dietary supplements during perioperative management is important for physicians.","To avoid possible bleeding risks during surgery, information of potential complications of dietary supplements during perioperative management is important for physicians.","BACKGROUND: Patients who undergo surgery appear to use dietary supplements significantly more frequently than the general population. | Because they contain pharmacologically active compounds, dietary supplements may affect coagulation and platelet function during the perioperative period through direct effects, pharmacodynamic interactions, and pharmacokinetic interactions. | To avoid possible bleeding risks during surgery, information of potential complications of dietary supplements during perioperative management is important for physicians.",16003009,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:11448284,pubmed,11448284,Herbal medicines and perioperative care.,"CONTEXT: Widespread use of herbal medications among the presurgical population may have a negative impact on perioperative patient care. OBJECTIVES: To review the literature on commonly used herbal medications in the context of the perioperative period and provide rational strategies for managing their preoperative use. DATA SOURCES: The MEDLINE and Cochrane Collaboration databases were searched for articles published between January 1966 and December 2000 using the search terms herbal medicine, phytotherapy, and alternative medicine and the names of the 16 most commonly used herbal medications. Additional data sources were obtained from manual searches of recent journal articles and textbooks. STUDY SELECTION: We selected studies, case reports, and reviews addressing the safety and pharmacology of 8 commonly used herbal medications for which safety information pertinent to the perioperative period was available. DATA EXTRACTION: We extracted safety, pharmacodynamic, and pharmacokinetic information from the selected literature and reached consensus about any discrepancies. DATA SYNTHESIS: Echinacea, ephedra, garlic, ginkgo, ginseng, kava, St John's wort, and valerian are commonly used herbal medications that may pose a concern during the perioperative period. Complications can arise from these herbs' direct and pharmacodynamic or pharmacokinetic effects. Direct effects include bleeding from garlic, ginkgo, and ginseng; cardiovascular instability from ephedra; and hypoglycemia from ginseng. Pharmacodynamic herb-drug interactions include potentiation of the sedative effect of anesthetics by kava and valerian. Pharmacokinetic herb-drug interactions include increased metabolism of many drugs used in the perioperative period by St John's wort. CONCLUSIONS: During the preoperative evaluation, physicians should explicitly elicit and document a history of herbal medication use. Physicians should be familiar with the potential perioperative effects of the commonly used herbal medications to prevent, recognize, and treat potentially serious problems associated with their use and discontinuation.",,2001,JAMA,"Journal Article|Research Support, Non-U.S. Gov't|Review",10.1001/jama.286.2.208,https://pubmed.ncbi.nlm.nih.gov/11448284/,retain,true,abstract_only,ABSTRACT_SENTENCE_9,"Direct effects include bleeding from garlic, ginkgo, and ginseng; cardiovascular instability from ephedra; and hypoglycemia from ginseng.",,"Complications can arise from these herbs' direct and pharmacodynamic or pharmacokinetic effects. | Direct effects include bleeding from garlic, ginkgo, and ginseng; cardiovascular instability from ephedra; and hypoglycemia from ginseng. | Pharmacodynamic herb-drug interactions include potentiation of the sedative effect of anesthetics by kava and valerian.","Direct effects include bleeding from garlic, ginkgo, and ginseng; cardiovascular instability from ephedra; and hypoglycemia from ginseng.","CONTEXT: Widespread use of herbal medications among the presurgical population may have a negative impact on perioperative patient care. | OBJECTIVES: To review the literature on commonly used herbal medications in the context of the perioperative period and provide rational strategies for managing their preoperative use. | STUDY SELECTION: We selected studies, case reports, and reviews addressing the safety and pharmacology of 8 commonly used herbal medications for which safety information pertinent to the perioperative period was available.",13004009,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:15461234,pubmed,15461234,Dietary supplements in primary care. Botanicals can affect surgical outcomes and follow-up.,"Dietary supplements are commonly used by patients of all ages, yet few patients reveal use of these products to their medical providers. Certain dietary supplements can react or interact with frequently used surgical medications--including anesthesia--and may cause serious unforeseen consequences or complications. Arrhythmias, poor wound healing, bleeding, photosensitivity reaction, and prolonged sedation are among the serious reactions during and after surgical and diagnostic procedures that have been attributed to these products. This article reviews the effects of the Few Gs (feverfew, ginkgo biloba, garlic, ginseng, and ginger), valerian, kava, St. John's wort, ephedra (Ma huang or metabolite), and echinacea. We recommend that all patients be advised to stop all dietary supplements at least 1 week prior to major surgical or diagnostic procedures; if a complication is noted, continued use of these products should be reviewed with patients.",,2004,Geriatrics,Journal Article|Review,,https://pubmed.ncbi.nlm.nih.gov/15461234/,retain,true,abstract_only,ABSTRACT_SENTENCE_3,"Arrhythmias, poor wound healing, bleeding, photosensitivity reaction, and prolonged sedation are among the serious reactions during and after surgical and diagnostic procedures that have been attributed to these products.",,"Certain dietary supplements can react or interact with frequently used surgical medications--including anesthesia--and may cause serious unforeseen consequences or complications. | Arrhythmias, poor wound healing, bleeding, photosensitivity reaction, and prolonged sedation are among the serious reactions during and after surgical and diagnostic procedures that have been attributed to these products. | We recommend that all patients be advised to stop all dietary supplements at least 1 week prior to major surgical or diagnostic procedures; if a complication is noted, continued use of these products should be reviewed with patients.","Arrhythmias, poor wound healing, bleeding, photosensitivity reaction, and prolonged sedation are among the serious reactions during and after surgical and diagnostic procedures that have been attributed to these products.","Certain dietary supplements can react or interact with frequently used surgical medications--including anesthesia--and may cause serious unforeseen consequences or complications. | Arrhythmias, poor wound healing, bleeding, photosensitivity reaction, and prolonged sedation are among the serious reactions during and after surgical and diagnostic procedures that have been attributed to these products. | We recommend that all patients be advised to stop all dietary supplements at least 1 week prior to major surgical or diagnostic procedures; if a complication is noted, continued use of these products should be reviewed with patients.",12003007,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:19994614,pubmed,19994614,[Knowledge of perioperative risk associated with use of medicinal plants].,"OBJECTIVES: To assess physicians' knowledge of perioperative risk for patients who consume medicinal plants. To review interactions between drugs and the main medicinal plants with a view to justifying a plan for preoperative intervention. MATERIAL AND METHODS: Surgeons and anesthesiologists were sent an e-mail survey with questions on knowledge of and attitudes toward surgical patients' consumption of medicinal plants. At the same time, we performed a literature search on the species of plants that can interact with anesthetic and surgical processes. The species included were Allium sativum, Ephedra sinica, Echinacea purpurea, Ginkgo biloba, Panax ginseng, Hypericum perforatum, Piper methysticum, Glycyrrhiza glabra and Valeriana officinalis. The focus of the search was on indications for the use of these plants and their interactions with drugs. RESULTS: The questionnaire was sent to 131 physicians. The response rate was 80.5%. Twenty-two physicians had trained in Spanish hospitals and 3 in hospitals abroad. Medicinal plants were believed to be effective by 55%, but 78% did not ask patients about their use. Only 3% knew the interactions of some of the plants mentioned in the survey and only 7% knew that the use of some should be suspended before surgery. CONCLUSIONS: Medicinal plants are currently being used in our culture. In spite of appropriate warnings from such scientific bodies as the American Society of Anesthesiologists on timing the withdrawal of medicinal plants before surgery, our results indicate that the advice is not followed. We also found that physicians lacked knowledge of the indications for using these plants and their interactions, a situation which is alarming.",,2009,Revista espanola de anestesiologia y reanimacion,English Abstract|Journal Article|Review,10.1016/s0034-9356(09)70436-0,https://pubmed.ncbi.nlm.nih.gov/19994614/,retain,true,abstract_only,ABSTRACT_SENTENCE_11,Only 3% knew the interactions of some of the plants mentioned in the survey and only 7% knew that the use of some should be suspended before surgery.,,To review interactions between drugs and the main medicinal plants with a view to justifying a plan for preoperative intervention. | The focus of the search was on indications for the use of these plants and their interactions with drugs. | Only 3% knew the interactions of some of the plants mentioned in the survey and only 7% knew that the use of some should be suspended before surgery.,Only 3% knew the interactions of some of the plants mentioned in the survey and only 7% knew that the use of some should be suspended before surgery.,OBJECTIVES: To assess physicians' knowledge of perioperative risk for patients who consume medicinal plants. | To review interactions between drugs and the main medicinal plants with a view to justifying a plan for preoperative intervention. | MATERIAL AND METHODS: Surgeons and anesthesiologists were sent an e-mail survey with questions on knowledge of and attitudes toward surgical patients' consumption of medicinal plants.,11005005,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:12190754,pubmed,12190754,The peri-operative implications of herbal medicines.,"An increasing number of patients are taking herbal medicines such as echinacea, garlic, ginkgo biloba, ginseng, St John's Wort, valerian, ephedra, kava, grapefruit juice and ginger. Although these herbal medications are considered 'natural' products that may have some benefits, adverse effects such as increased bleeding tendencies and drug interactions are associated with their use. Surgeons and anaesthetists may be unaware of their patients' use of these medications because it is common for patients not to disclose their use of this form of medication, and both surgeons and anaesthetists often fail to enquire about their use. Anaesthetists and surgeons must be familiar with the effects of herbal medicines and should specifically enquire about the use of herbal medicines during pre-operative assessment. Currently available data suggest that all herbal medicines should be ceased 2 weeks before surgery.",,2002,Anaesthesia,Journal Article|Review,10.1046/j.1365-2044.2002.02781.x,https://pubmed.ncbi.nlm.nih.gov/12190754/,retain,true,abstract_only,ABSTRACT_SENTENCE_2,"Although these herbal medications are considered 'natural' products that may have some benefits, adverse effects such as increased bleeding tendencies and drug interactions are associated with their use.",,"Although these herbal medications are considered 'natural' products that may have some benefits, adverse effects such as increased bleeding tendencies and drug interactions are associated with their use.","Although these herbal medications are considered 'natural' products that may have some benefits, adverse effects such as increased bleeding tendencies and drug interactions are associated with their use.","Surgeons and anaesthetists may be unaware of their patients' use of these medications because it is common for patients not to disclose their use of this form of medication, and both surgeons and anaesthetists often fail to enquire about their use. | Anaesthetists and surgeons must be familiar with the effects of herbal medicines and should specifically enquire about the use of herbal medicines during pre-operative assessment. | Currently available data suggest that all herbal medicines should be ceased 2 weeks before surgery.",11002009,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:14531370,pubmed,14531370,[Surgery patients' intake of herbal preparations and dietary supplements].,"INTRODUCTION: Herbal medicine is being frequently used by patients around the world. Several products may interact with ordinary medicine, so it is important for doctors to know what kind of herbal medicines their patients take. MATERIAL AND METHODS: A questionnaire was given to presurgery patients during a two-month period. RESULTS: A total of 115 consecutive patients responded, 69 women (60%) and 46 men (40%). 50.4% had taken or still took herbal medicine, with the following distribution of gender: women 69.8%, men 30.2%. The age group was 18-82 years. The frequently used herbal medicines were fish oil, ginkgo, Echinacea, Co-Q10, garlic, and hip. Twenty-five patients took nutritional supplements with the following spread of gender: 84% women and 16% men. The frequently used nutritional supplements were Gerimax, LongoVital, and Melbrosia. Not all patients would inform their doctor about their use of herbal medicine. 28.6% retained information because of the doctor and 64.3%, did not perceive herbal medicine as ""real medicine"". DISCUSSION: It is important for anaesthesiologists to know what specific kind of herbal medicines patients are using before they anaesthetize them as interactions between herbal medicine and anaesthesia are prevalent. Anaesthesiologists have to ask specific questions to receive full information regarding herbal medicines during the preoperative period.",,2003,Ugeskrift for laeger,English Abstract|Journal Article,,https://pubmed.ncbi.nlm.nih.gov/14531370/,retain,true,abstract_only,ABSTRACT_SENTENCE_11,"28.6% retained information because of the doctor and 64.3%, did not perceive herbal medicine as ""real medicine"".",,DISCUSSION: It is important for anaesthesiologists to know what specific kind of herbal medicines patients are using before they anaesthetize them as interactions between herbal medicine and anaesthesia are prevalent.,"28.6% retained information because of the doctor and 64.3%, did not perceive herbal medicine as ""real medicine"".",MATERIAL AND METHODS: A questionnaire was given to presurgery patients during a two-month period. | Anaesthesiologists have to ask specific questions to receive full information regarding herbal medicines during the preoperative period.,10003003,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:11493302,pubmed,11493302,The impact of herbal medicines on dermatologic surgery.,"BACKGROUND: In recent years herbal medicines and supplements have become increasingly popular. With their increased popularity, more publications are warning about the potential harmful effects of some of these products. OBJECTIVE: To present scientific evidence of the benefits and surgical risks of herbal products. METHODS: A Medline search and review of the literature was performed. RESULTS: Many herbal medicines are relevant in dermatologic surgery since Ginkgo biloba, garlic, ginger, ginseng, feverfew, and vitamin E may increase the risk of bleeding, and ephedra may potentiate the side effects of epinephrine. CONCLUSION: Dermatologists should be aware of these herbal products and their uses. Many of these products prescribed by alternative medicine physicians or purchased over the counter should be discontinued prior to dermatologic surgery to minimize the risk of surgical complications.",,2001,Dermatologic surgery : official publication for American Society for Dermatologic Surgery [et al.],Journal Article|Review,10.1046/j.1524-4725.2001.01089.x,https://pubmed.ncbi.nlm.nih.gov/11493302/,retain,true,abstract_only,ABSTRACT_SENTENCE_5,"RESULTS: Many herbal medicines are relevant in dermatologic surgery since Ginkgo biloba, garlic, ginger, ginseng, feverfew, and vitamin E may increase the risk of bleeding, and ephedra may potentiate the side effects of epinephrine.",,"RESULTS: Many herbal medicines are relevant in dermatologic surgery since Ginkgo biloba, garlic, ginger, ginseng, feverfew, and vitamin E may increase the risk of bleeding, and ephedra may potentiate the side effects of epinephrine. | Many of these products prescribed by alternative medicine physicians or purchased over the counter should be discontinued prior to dermatologic surgery to minimize the risk of surgical complications.","RESULTS: Many herbal medicines are relevant in dermatologic surgery since Ginkgo biloba, garlic, ginger, ginseng, feverfew, and vitamin E may increase the risk of bleeding, and ephedra may potentiate the side effects of epinephrine.","OBJECTIVE: To present scientific evidence of the benefits and surgical risks of herbal products. | RESULTS: Many herbal medicines are relevant in dermatologic surgery since Ginkgo biloba, garlic, ginger, ginseng, feverfew, and vitamin E may increase the risk of bleeding, and ephedra may potentiate the side effects of epinephrine. | Many of these products prescribed by alternative medicine physicians or purchased over the counter should be discontinued prior to dermatologic surgery to minimize the risk of surgical complications.",10002009,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:22300597,pubmed,22300597,Anticoagulant activity of select dietary supplements.,"This review considers the potential of certain dietary supplements, including garlic, Ginkgo biloba, ginger, ginseng, fish oil, and vitamin E, to interfere with hemostasis. Dietary supplements are common components of the diet in the United States, with about half the US adult population taking some type of dietary supplement regularly. It has been suggested that some supplements could adversely affect coagulation when taken alone or in combination with antiplatelet medications. Supplements could alter hemostasis by a variety of mechanisms, such as reducing platelet aggregation or inhibiting arachidonic acid, a cellular signaling messenger and inflammatory intermediate. To conduct this review, multiple databases were searched using a variety of search terms to ensure relevant papers were located. Moderate to severe adverse events, such as spinal epidural hematoma, spontaneous intracerebral hemorrhage, retrobulbar hemorrhage, subarachnoid hemorrhage, spontaneous hyphema, and postoperative bleeding, have occasionally been anecdotally associated with consumption of dietary supplements. However, the number of controlled studies in the literature is too limited to demonstrate consistent anticoagulant effects of dietary supplements alone or in combination with drug therapy.",,2012,Nutrition reviews,"Journal Article|Research Support, Non-U.S. Gov't|Review",10.1111/j.1753-4887.2011.00444.x,https://pubmed.ncbi.nlm.nih.gov/22300597/,retain,true,abstract_only,ABSTRACT_SENTENCE_6,"Moderate to severe adverse events, such as spinal epidural hematoma, spontaneous intracerebral hemorrhage, retrobulbar hemorrhage, subarachnoid hemorrhage, spontaneous hyphema, and postoperative bleeding, have occasionally been anecdotally associated with consumption of dietary supplements.",,"It has been suggested that some supplements could adversely affect coagulation when taken alone or in combination with antiplatelet medications. | Moderate to severe adverse events, such as spinal epidural hematoma, spontaneous intracerebral hemorrhage, retrobulbar hemorrhage, subarachnoid hemorrhage, spontaneous hyphema, and postoperative bleeding, have occasionally been anecdotally associated with consumption of dietary supplements. | However, the number of controlled studies in the literature is too limited to demonstrate consistent anticoagulant effects of dietary supplements alone or in combination with drug therapy.","Moderate to severe adverse events, such as spinal epidural hematoma, spontaneous intracerebral hemorrhage, retrobulbar hemorrhage, subarachnoid hemorrhage, spontaneous hyphema, and postoperative bleeding, have occasionally been anecdotally associated with consumption of dietary supplements.","Moderate to severe adverse events, such as spinal epidural hematoma, spontaneous intracerebral hemorrhage, retrobulbar hemorrhage, subarachnoid hemorrhage, spontaneous hyphema, and postoperative bleeding, have occasionally been anecdotally associated with consumption of dietary supplements.",10001009,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:15769650,pubmed,15769650,Nutraceuticals and cancer management.,"The use of complementary and alternative medicine (CAM) is increasing rapidly in developed countries, which is already in use as traditional medicines in various Asian countries. The Indian system of medicine, named as Ayurveda has an edge in this field. Many plant products are in use as herbal medicine, as food supplement or as spices, in every day cooking. Some of them have been well studied in various experimental models of cancer, both in vivo and in vitro models. They have shown significant inhibition of cell proliferation. Some of them are in the phase of clinical trial or already available as food supplement. Cancer patients are specially exploring the use of CAM, because of the high risk of mortality and long-term morbidity associated with surgical procedures of cancer management and high side effects of chemotherapy. This paper reviews different class of phytomedicines, used in Indian system of medicine, and also in Europe, which have shown positive results in preventing cancer progression. It also covers the role of vitamins, minerals, dietary fat in relation to cancer control. The mechanisms of action of these phytomolecules have also been discussed.",,2005,Frontiers in bioscience : a journal and virtual library,Journal Article|Review,10.2741/1644,https://pubmed.ncbi.nlm.nih.gov/15769650/,retain,true,abstract_only,ABSTRACT_SENTENCE_7,"Cancer patients are specially exploring the use of CAM, because of the high risk of mortality and long-term morbidity associated with surgical procedures of cancer management and high side effects of chemotherapy.",,"Cancer patients are specially exploring the use of CAM, because of the high risk of mortality and long-term morbidity associated with surgical procedures of cancer management and high side effects of chemotherapy.","Cancer patients are specially exploring the use of CAM, because of the high risk of mortality and long-term morbidity associated with surgical procedures of cancer management and high side effects of chemotherapy.","Cancer patients are specially exploring the use of CAM, because of the high risk of mortality and long-term morbidity associated with surgical procedures of cancer management and high side effects of chemotherapy.",9002009,,,,not_observed,ai_screened_regex_confirmed
HRS1_PERIOPERATIVE,pubmed:15500490,pubmed,15500490,Herbal medicine use by children presenting for ambulatory anesthesia and surgery.,"BACKGROUND: Herbal medicine use has become increasingly popular throughout the world. Some of these agents may have serious interactions with anesthetic drugs. Children may potentially be more vulnerable to such interactions because of altered drug handling. While the prevalence of herbal medicine use by children with some chronic illnesses has been estimated, the incidence of this in a population of otherwise healthy children admitted for minor ambulatory anesthesia and surgery is currently unknown. METHODS: Parents of 601 children presenting consecutively for ambulatory surgery were asked to complete a questionnaire detailing administration of herbal medicines to their child. RESULTS: This study identified that 6.4% of children were currently taking an herbal preparation; while a further 10.1% had taken an herbal medicine in the past. Echinacea and arnica were the commonest used herbal remedies. A significant number of children had taken agents which may interact with anesthesia and surgery: St John's Wort, valerian, garlic and gingko. Information on herbal medicines was mostly obtained by parents from nonmedical sources. CONCLUSIONS: A total of 16.6% of children had a current or past history of ingestion of herbal medicines. This finding may have implications for the perioperative management of children presenting for day-case surgery.",,2004,Paediatric anaesthesia,Journal Article,10.1111/j.1460-9592.2004.01353.x,https://pubmed.ncbi.nlm.nih.gov/15500490/,retain,true,abstract_only,ABSTRACT_SENTENCE_2,Some of these agents may have serious interactions with anesthetic drugs.,,Some of these agents may have serious interactions with anesthetic drugs. | Children may potentially be more vulnerable to such interactions because of altered drug handling.,Some of these agents may have serious interactions with anesthetic drugs.,"Some of these agents may have serious interactions with anesthetic drugs. | While the prevalence of herbal medicine use by children with some chronic illnesses has been estimated, the incidence of this in a population of otherwise healthy children admitted for minor ambulatory anesthesia and surgery is currently unknown. | METHODS: Parents of 601 children presenting consecutively for ambulatory surgery were asked to complete a questionnaire detailing administration of herbal medicines to their child.",8007005,,,,not_observed,ai_screened_regex_confirmed
