question_id,run_id,executed_at,query_sha256,probe_hit_count,fetch_hit_count,retrieved_count,deduplicated_count,raw_path,status
HRS1_PERIOPERATIVE,20260728T014125Z,2026-07-28T01:41:25+00:00,94bf4b4bfdfe09f39198c67304c1c05881ee673bb6acaec15fddd299412e7bb3,12296,12296,12296,12293,research/searches_v4/HRS1_PERIOPERATIVE/pubmed/20260728T014125Z,completed
HRS2_KIDNEY_DISEASE,20260728T014125Z,2026-07-28T01:41:25+00:00,1d966a3432e7b0aae26549707eb1d2afdb70a7c4908cfd308939e2f9e095bc22,4704,4704,4704,4704,research/searches_v4/HRS2_KIDNEY_DISEASE/pubmed/20260728T014125Z,completed
HRS3_PREGNANCY,20260728T014125Z,2026-07-28T01:41:25+00:00,b974db53535b8dc84d24c23e63081479b0d9817da24f5ffaf8b8c8e1d05c6616,20376,20376,20376,20366,research/searches_v4/HRS3_PREGNANCY/pubmed/20260728T014125Z,completed
HRS4_LIVER_DISEASE,20260728T014125Z,2026-07-28T01:41:25+00:00,5437c93d6efbc119936018608c8359ccbee546786057341678095203a8bf71f8,6919,6919,6919,6918,research/searches_v4/HRS4_LIVER_DISEASE/pubmed/20260728T014125Z,completed
HRS5_ANTICOAGULATION,20260728T014125Z,2026-07-28T01:41:25+00:00,1a8072b073df91cbadab58f1db21131d3ba37ba7e1ddfde94451452d1059a053,3751,3751,3751,3750,research/searches_v4/HRS5_ANTICOAGULATION/pubmed/20260728T014125Z,completed
