question_id,pmid,doi,short_label,source_role,verification_status,verified_at,source_url
A1,27346552,10.1160/TH16-04-0320,Boonyawat 2016 low-dose vitamin K randomized trial,primary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/27346552/
A1,23953594,10.1016/j.thromres.2013.07.019,Majeed 2013 vitamin K1 randomized trial,primary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/23953594/
A1,21193422,10.3324/haematol.2010.035162,Gebuis 2011 vitamin K1 dose-finding trial,primary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/21193422/
A2,7795149,,Eritsland 1995 fish oil plus aspirin or warfarin trial,primary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/7795149/
A2,27657121,10.3390/nu8090578,Pryce 2016 fish oil with warfarin retrospective study,primary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/27657121/
B1,21525191,10.3945/ajcn.110.003350,WHI calcium and vitamin D randomized trial stone occurrence,primary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/21525191/
B2,27604776,10.3945/ajcn.116.134981,Long-term vitamin D hypercalcemia hypercalciuria stone systematic review,secondary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/27604776/
B2,27765695,10.1016/j.juro.2016.10.057,Ferroni 2017 randomized vitamin D repletion,primary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/27765695/
B3,23381591,10.1001/jamainternmed.2013.2296,Ascorbic acid supplements and kidney stone incidence,primary sentinel,verified_pubmed_record,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/23381591/
