search_run_id,question_id,database,platform,search_date,query_file,query_sha256,hits_observed,records_exported,status,final_search_claim_allowed
central_a1_hitcount_designpilot_20260710,A1,CENTRAL,Cochrane Library,2026-07-10,research/searches/A1/central/central_a1_hitcount_designpilot_20260710/query.txt,3e6c7d6e9973f46875e1886817ba8e10d03053e8f9db46b456afec4bc7310c6b,1664,0,design_pilot_hit_count_only_export_blocked_authentication,False
central_a2_hitcount_designpilot_20260710,A2,CENTRAL,Cochrane Library,2026-07-10,research/searches/A2/central/central_a2_hitcount_designpilot_20260710/query.txt,3b93e71ed06f06cf80b26e04ffbcbc946f89e24e17e8aeedaf48f257e0f19586,111,0,design_pilot_hit_count_only_export_blocked_authentication,False
central_b1_hitcount_designpilot_20260710,B1,CENTRAL,Cochrane Library,2026-07-10,research/searches/B1/central/central_b1_hitcount_designpilot_20260710/query.txt,82d14b9304b1c767453df3af9dacaf259860185914ea9efb6cb5625afc34f525,111,0,design_pilot_hit_count_only_export_blocked_authentication,False
central_b2_hitcount_designpilot_20260710,B2,CENTRAL,Cochrane Library,2026-07-10,research/searches/B2/central/central_b2_hitcount_designpilot_20260710/query.txt,e8aecdcab7b84c5cd49207260856c938509189a665cac2aad237122d1698f7ae,333,0,design_pilot_hit_count_only_export_blocked_authentication,False
central_b3_hitcount_designpilot_20260710,B3,CENTRAL,Cochrane Library,2026-07-10,research/searches/B3/central/central_b3_hitcount_designpilot_20260710/query.txt,e8398443e674f9a6c570165063c80860c05fd0fe873c1906866d3232a8a70f4f,45,0,design_pilot_hit_count_only_export_blocked_authentication,False
