search_run_id,question_id,database,platform,coverage_notes,search_datetime_iso,timezone,query_file,query_sha256,limits,total_hits_reported,records_exported,export_format,raw_file,raw_sha256,incremental_from_date,operator,peer_review_status,status,notes
pubmed_a1_designpilot_20260710,A1,PubMed,NCBI E-utilities,full public-source design-pilot export,2026-07-10T06:32:16.355Z,UTC,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/query.txt,1c8cf631d80cafe6979690e2e346d0b713ec4ede510d68ecd675c3d7f02e6d66,none; A1 partitioned by publication year ranges solely for API cap,12229,12229,PubMed XML batches,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710,8bd62f3dd61eca684d16cc655688d4e68f0b5f3e95d71134e54b54389932cd65,,codex_public_api_proxy,pending_external_human_review,design_pilot_full_export_not_final_search,Full public-source design-pilot export; prohibited from PRISMA/final-result use.
pubmed_a2_designpilot_20260710,A2,PubMed,NCBI E-utilities,full public-source design-pilot export,2026-07-10T06:32:38.393Z,UTC,research/searches/A2/pubmed/pubmed_a2_designpilot_20260710/query.txt,6c12f61d0e6964b0057611a1cbb6525dcb48077139b8808e08666b44122654d4,none; A1 partitioned by publication year ranges solely for API cap,820,820,PubMed XML batches,research/searches/A2/pubmed/pubmed_a2_designpilot_20260710,09b0031ab38cdd4d89d94b61d5f28aba2406ed3a86f7f1f4cc97fc17d2ed349b,,codex_public_api_proxy,pending_external_human_review,design_pilot_full_export_not_final_search,Full public-source design-pilot export; prohibited from PRISMA/final-result use.
pubmed_b1_designpilot_20260710,B1,PubMed,NCBI E-utilities,full public-source design-pilot export,2026-07-10T06:32:50.521Z,UTC,research/searches/B1/pubmed/pubmed_b1_designpilot_20260710/query.txt,2500922a5460a60d1a38ca8113bd02e24a5a4ed0e69d11d2099b765d283d13e9,none; A1 partitioned by publication year ranges solely for API cap,1353,1353,PubMed XML batches,research/searches/B1/pubmed/pubmed_b1_designpilot_20260710,7857b726f317478c75c9da74cb137aba2db0189bfe05af55d7d3211ced94bc7d,,codex_public_api_proxy,pending_external_human_review,design_pilot_full_export_not_final_search,Full public-source design-pilot export; prohibited from PRISMA/final-result use.
pubmed_b2_designpilot_20260710,B2,PubMed,NCBI E-utilities,full public-source design-pilot export,2026-07-10T06:33:40.503Z,UTC,research/searches/B2/pubmed/pubmed_b2_designpilot_20260710/query.txt,c78f241a84c6cfa84d710490b821c6ebf41692493d9b0906e386832924f62c22,none; A1 partitioned by publication year ranges solely for API cap,4879,4879,PubMed XML batches,research/searches/B2/pubmed/pubmed_b2_designpilot_20260710,89f1fee75cbb1e87c09ac2c9e5d1958fadf250dc92283e27fcc5b23bc6e549a8,,codex_public_api_proxy,pending_external_human_review,design_pilot_full_export_not_final_search,Full public-source design-pilot export; prohibited from PRISMA/final-result use.
pubmed_b3_designpilot_20260710,B3,PubMed,NCBI E-utilities,full public-source design-pilot export,2026-07-10T06:32:57.689Z,UTC,research/searches/B3/pubmed/pubmed_b3_designpilot_20260710/query.txt,1cd3f203baa8a45c45fa5e33fd965a566097e7bd1e726ff47ec238824ed1e3f9,none; A1 partitioned by publication year ranges solely for API cap,680,680,PubMed XML batches,research/searches/B3/pubmed/pubmed_b3_designpilot_20260710,fd23788af7376109cd48778100be6ff914a6ba1d1bcb1c55d6f437fefb29d55f,,codex_public_api_proxy,pending_external_human_review,design_pilot_full_export_not_final_search,Full public-source design-pilot export; prohibited from PRISMA/final-result use.
